# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.005008            0.090182            0.002270            0.014801            

# Order j             0.617 +- 0.004      0.850 +- 0.097      1.096 +- 0.164      
# Factor K            2.344 +- 0.059      0.212 +- 0.116      4.429 +- 4.070      

  0.000366            0.017547            0.000255            0.001032            
  0.000610            0.024784            0.000267            0.000669            
  0.000855            0.030836            0.000534            0.002565            
  0.001099            0.035803            0.000631            0.002999            
  0.001343            0.040146            0.000791            0.002172            
  0.001587            0.044468            0.000301            0.003404            
  0.001832            0.048272            0.000654            0.003698            
  0.002076            0.051687            0.001270            0.005955            
  0.002320            0.055195            0.001130            0.005291            
  0.002564            0.058630            0.000975            0.005055            
  0.002809            0.062017            0.001701            0.007476            
  0.003052            0.065486            0.001670            0.004799            
  0.003297            0.067724            0.001430            0.006263            
  0.003542            0.071887            0.001741            0.009706            
  0.003788            0.073523            0.002939            0.012616            
  0.004032            0.077269            0.002319            0.013605            
  0.004274            0.080354            0.003079            0.008220            
  0.004518            0.082895            0.002660            0.010376            
  0.004762            0.086700            0.003537            0.011771            
  0.005008            0.089328            0.003240            0.014414            

# Order j             0.606 +- 0.005      1.422 +- 0.146      1.176 +- 0.161      
# Factor K            2.196 +- 0.057      6.386 +- 5.179      6.721 +- 6.051      

  0.000366            0.017437            0.000154            0.001076            
  0.000610            0.024784            0.000090            0.000357            
  0.000855            0.030489            0.000327            0.002669            
  0.001099            0.035478            0.000834            0.002814            
  0.001343            0.040250            0.000669            0.002281            
  0.001587            0.044101            0.000990            0.003621            
  0.001832            0.047610            0.001160            0.004226            
  0.002076            0.051155            0.001421            0.006678            
  0.002320            0.055265            0.001824            0.006131            
  0.002564            0.058018            0.001947            0.006106            
  0.002809            0.061794            0.001752            0.007901            
  0.003052            0.065019            0.002497            0.004862            
  0.003297            0.067451            0.002861            0.007392            
  0.003542            0.071331            0.003078            0.009945            
  0.003788            0.074888            0.003394            0.014642            
  0.004032            0.077057            0.003290            0.014200            
  0.004274            0.080491            0.003561            0.010106            
  0.004518            0.084715            0.003541            0.011299            
  0.004762            0.086941            0.003484            0.011138            
  0.005008            0.090208            0.003853            0.016265            

# Order j             0.619 +- 0.006      1.148 +- 0.075      1.163 +- 0.164      
# Factor K            2.363 +- 0.081      1.793 +- 0.747      6.833 +- 6.249      

  0.000366            0.017365            0.000329            0.001007            
  0.000610            0.024472            0.000317            0.000422            
  0.000855            0.030665            0.000655            0.002213            
  0.001099            0.035842            0.000689            0.002511            
  0.001343            0.040243            0.001148            0.001562            
  0.001587            0.043640            0.001423            0.003118            
  0.001832            0.047677            0.001409            0.003317            
  0.002076            0.050872            0.001978            0.005244            
  0.002320            0.054595            0.001644            0.004712            
  0.002564            0.058235            0.002572            0.004635            
  0.002809            0.062004            0.002108            0.007098            
  0.003052            0.064758            0.002719            0.004397            
  0.003297            0.068054            0.002633            0.005729            
  0.003542            0.070842            0.003149            0.008692            
  0.003788            0.073904            0.002104            0.012457            
  0.004032            0.076561            0.003092            0.012808            
  0.004274            0.079975            0.002258            0.007657            
  0.004518            0.082423            0.003974            0.008857            
  0.004762            0.086486            0.003661            0.009594            
  0.005008            0.088482            0.003597            0.013912            

# Order j             0.609 +- 0.004      0.888 +- 0.107      1.193 +- 0.191      
# Factor K            2.211 +- 0.057      0.406 +- 0.245      6.748 +- 7.184      

  0.000366            0.017407            0.000212            0.000946            
  0.000610            0.024914            0.000371            0.000563            
  0.000855            0.030393            0.000355            0.002197            
  0.001099            0.035632            0.000587            0.002725            
  0.001343            0.039922            0.001079            0.002037            
  0.001587            0.044096            0.001170            0.003657            
  0.001832            0.047974            0.001223            0.003651            
  0.002076            0.051455            0.001630            0.005856            
  0.002320            0.055656            0.002055            0.005728            
  0.002564            0.058692            0.001883            0.004911            
  0.002809            0.062170            0.002757            0.007644            
  0.003052            0.065105            0.002512            0.004150            
  0.003297            0.068454            0.002278            0.006383            
  0.003542            0.071509            0.002500            0.009030            
  0.003788            0.074445            0.003666            0.013022            
  0.004032            0.077592            0.002805            0.014087            
  0.004274            0.081218            0.002650            0.008775            
  0.004518            0.084183            0.004384            0.011063            
  0.004762            0.087660            0.003988            0.011503            
  0.005008            0.091278            0.003577            0.014323            

# Order j             0.621 +- 0.006      1.051 +- 0.115      1.211 +- 0.171      
# Factor K            2.409 +- 0.078      1.048 +- 0.672      8.230 +- 7.832      

  0.000366            0.017426            0.000274            0.000872            
  0.000610            0.025149            0.000221            0.000686            
