# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 1.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000375            0.002159            0.000454            0.001059            
  0.000425            0.002478            0.000552            0.001069            
  0.000475            0.002749            0.000575            0.001578            
  0.000525            0.003076            0.000659            0.001435            
  0.000575            0.003356            0.000672            0.001987            
  0.000625            0.003483            0.000742            0.001361            
  0.000675            0.003960            0.000830            0.002071            
  0.000725            0.004255            0.000867            0.002365            
  0.000775            0.004515            0.000938            0.002524            
  0.000825            0.004856            0.000977            0.002878            
  0.000876            0.005203            0.001113            0.002318            
  0.000925            0.005479            0.001093            0.003276            
  0.000976            0.005768            0.001191            0.002824            
  0.001026            0.006097            0.001267            0.003030            

# Order j             1.047 +- 0.010      1.027 +- 0.021      1.075 +- 0.089      
# Factor K            8.201 +- 0.561      1.472 +- 0.219      5.217 +- 3.320      

# Order j             1.046 +- 0.003      1.042 +- 0.014      1.079 +- 0.025      
# Factor K            8.115 +- 0.165      1.644 +- 0.162      5.344 +- 0.976      

# Order j             1.046 +- 0.003      1.042 +- 0.014      1.079 +- 0.025      
# Factor K            8.115 +- 0.165      1.644 +- 0.162      5.344 +- 0.976      

# Order j             1.046 +- 0.003      1.042 +- 0.014      1.079 +- 0.025      
# Factor K            8.115 +- 0.165      1.644 +- 0.162      5.344 +- 0.976      

# Order j             1.046 +- 0.003      1.042 +- 0.014      1.079 +- 0.025      
# Factor K            8.115 +- 0.165      1.644 +- 0.162      5.344 +- 0.976      

